IP,Port,Status,LatencyMS,Protocol,Error
175.139.255.25,8181,DEAD,0.0,http,Unknown failure
145.220.226.87,8080,DEAD,0.0,http,Unknown failure
23.184.200.67,1080,DEAD,5242.64,http,
80.93.62.239,1080,DEAD,5081.8,http,"400, message=""Bad status line:\n  Expected HTTP/, RTSP/ or ICE/:\n\n  b'\\x00[\\x048P]>\\xef'\n    ^"", url='http://httpbin.org/ip'"
192.168.1.32,8031,DEAD,5797.42,http,
192.168.1.61,8060,DEAD,5792.54,http,
192.168.1.7,8006,DEAD,5792.82,http,
192.168.1.94,8093,DEAD,5788.51,http,
192.168.1.34,8033,DEAD,5788.78,http,
192.168.1.58,8057,DEAD,5794.45,http,
192.168.1.41,8040,DEAD,5797.03,http,
192.168.1.102,8001,DEAD,5793.81,http,
192.168.1.101,8000,DEAD,5789.57,http,
192.168.1.67,8066,DEAD,5789.85,http,
192.168.1.66,8065,DEAD,5790.13,http,
192.168.1.53,8052,DEAD,5790.41,http,
192.168.1.93,8092,DEAD,5790.69,http,
192.168.1.64,8063,DEAD,5790.97,http,
192.168.1.65,8064,DEAD,5791.28,http,
192.168.1.89,8088,DEAD,5791.57,http,
192.168.1.76,8075,DEAD,5795.52,http,
192.168.1.86,8085,DEAD,5792.13,http,
192.168.1.33,8032,DEAD,5792.39,http,
8.210.93.183,8213,DEAD,5792.63,http,
192.168.1.85,8084,DEAD,5792.89,http,
192.168.1.62,8061,DEAD,5793.16,http,
192.168.1.63,8062,DEAD,5793.41,http,
192.168.1.69,8068,DEAD,5793.65,http,
192.168.1.100,8099,DEAD,5793.92,http,
192.168.1.99,8098,DEAD,5794.19,http,
192.168.1.98,8097,DEAD,5794.42,http,
192.168.1.97,8096,DEAD,5794.66,http,
192.168.1.96,8095,DEAD,5794.89,http,
192.168.1.95,8094,DEAD,5795.13,http,
192.168.1.20,8019,DEAD,5795.35,http,
192.168.1.92,8091,DEAD,5795.69,http,
192.168.1.91,8090,DEAD,5795.92,http,
192.168.1.90,8089,DEAD,5796.15,http,
192.168.1.44,8043,DEAD,5796.37,http,
192.168.1.88,8087,DEAD,5796.6,http,
192.168.1.87,8086,DEAD,5796.83,http,
192.168.1.21,8020,DEAD,5797.06,http,
192.168.1.84,8083,DEAD,5797.39,http,
192.168.1.83,8082,DEAD,5797.62,http,
192.168.1.82,8081,DEAD,5797.85,http,
192.168.1.4,8003,DEAD,5798.08,http,
192.168.1.3,8002,DEAD,5798.31,http,
192.168.1.1,8000,DEAD,5798.55,http,
192.168.1.79,8078,DEAD,5798.78,http,
192.168.1.78,8077,DEAD,5799.0,http,
192.168.1.71,8070,DEAD,5804.73,http,
192.168.1.40,8039,DEAD,5803.06,http,
192.168.1.77,8076,DEAD,5799.92,http,
192.168.1.75,8074,DEAD,5800.17,http,
192.168.1.39,8038,DEAD,5803.6,http,
192.168.1.68,8067,DEAD,5800.52,http,
192.168.1.6,8005,DEAD,5800.75,http,
192.168.1.59,8058,DEAD,5801.2,http,
192.168.1.31,8030,DEAD,5801.21,http,
192.168.1.23,8022,DEAD,5804.5,http,
192.168.1.38,8037,DEAD,5804.51,http,
192.168.1.30,8029,DEAD,5801.89,http,
192.168.1.57,8056,DEAD,5802.12,http,
192.168.1.56,8055,DEAD,5802.35,http,
192.168.1.37,8036,DEAD,5797.61,http,
192.168.1.55,8054,DEAD,5802.91,http,
192.168.1.54,8053,DEAD,5803.14,http,
192.168.1.28,8027,DEAD,5803.37,http,
192.168.1.22,8021,DEAD,5803.59,http,
192.168.1.74,8073,DEAD,5803.82,http,
192.168.1.104,8003,DEAD,5804.04,http,
192.168.1.52,8051,DEAD,5800.01,http,
192.168.1.51,8050,DEAD,5804.52,http,
192.168.1.50,8049,DEAD,5804.74,http,
192.168.1.49,8048,DEAD,5804.97,http,
192.168.1.36,8035,DEAD,5801.32,http,
192.168.1.47,8046,DEAD,5805.42,http,
192.168.1.46,8045,DEAD,5805.65,http,
192.168.1.45,8044,DEAD,5805.88,http,
192.168.1.43,8042,DEAD,5806.12,http,
192.168.1.42,8041,DEAD,5806.35,http,
192.168.1.81,8080,DEAD,5808.63,http,
192.168.1.35,8034,DEAD,5798.64,http,
85.9.87.26,8080,DEAD,5804.15,http,
192.168.1.80,8079,DEAD,5809.15,http,
192.168.1.2,8001,DEAD,5807.8,http,
192.168.1.5,8004,DEAD,5808.02,http,
192.168.1.29,8028,DEAD,5805.54,http,
192.168.1.26,8025,DEAD,5808.51,http,
192.168.1.25,8024,DEAD,5808.74,http,
192.168.1.60,8059,DEAD,5806.64,http,
192.168.1.73,8072,DEAD,5809.19,http,
192.168.1.48,8047,DEAD,5807.32,http,
192.168.1.72,8071,DEAD,5809.65,http,
192.168.1.103,8002,DEAD,5809.89,http,
192.168.1.19,8018,DEAD,5810.98,http,
192.168.1.70,8069,DEAD,5810.79,http,
192.168.1.27,8026,DEAD,5809.47,http,
192.168.1.24,8023,DEAD,5809.92,http,
181.78.27.39,999,DEAD,5810.28,http,
192.168.1.105,8004,DEAD,5801.94,http,
192.168.1.106,8005,DEAD,5798.6,http,
192.168.1.107,8006,DEAD,5799.65,http,
192.168.1.108,8007,DEAD,5796.86,http,
192.168.1.189,8088,DEAD,5797.96,http,
192.168.1.116,8015,DEAD,5795.68,http,
192.168.1.126,8025,DEAD,5792.58,http,
192.168.1.117,8016,DEAD,5792.83,http,
192.168.1.153,8052,DEAD,5789.38,http,
192.168.1.198,8097,DEAD,5796.91,http,
192.168.1.130,8029,DEAD,5796.54,http,
192.168.1.190,8089,DEAD,5793.52,http,
192.168.1.202,8001,DEAD,5790.03,http,
192.168.1.165,8064,DEAD,5790.26,http,
192.168.1.191,8090,DEAD,5790.5,http,
192.168.1.166,8065,DEAD,5794.15,http,
192.168.1.118,8017,DEAD,5790.96,http,
192.168.1.164,8063,DEAD,5791.21,http,
192.168.1.163,8062,DEAD,5791.43,http,
192.168.1.196,8095,DEAD,5791.65,http,
192.168.1.175,8074,DEAD,5791.88,http,
192.168.1.194,8093,DEAD,5792.1,http,
192.168.1.193,8092,DEAD,5792.33,http,
192.168.1.192,8091,DEAD,5792.55,http,
192.168.1.167,8066,DEAD,5792.79,http,
192.168.1.204,8003,DEAD,5793.02,http,
192.168.1.200,8099,DEAD,5793.24,http,
192.168.1.183,8082,DEAD,5793.47,http,
192.168.1.188,8087,DEAD,5793.69,http,
192.168.1.158,8057,DEAD,5793.91,http,
192.168.1.187,8086,DEAD,5794.13,http,
192.168.1.195,8094,DEAD,5792.31,http,
192.168.1.203,8002,DEAD,5794.58,http,
192.168.1.181,8080,DEAD,5794.79,http,
192.168.1.180,8079,DEAD,5795.01,http,
192.168.1.179,8078,DEAD,5795.23,http,
192.168.1.178,8077,DEAD,5795.45,http,
192.168.1.177,8076,DEAD,5795.67,http,
192.168.1.176,8075,DEAD,5795.89,http,
192.168.1.134,8033,DEAD,5796.11,http,
192.168.1.174,8073,DEAD,5796.33,http,
192.168.1.173,8072,DEAD,5796.55,http,
192.168.1.172,8071,DEAD,5796.78,http,
192.168.1.171,8070,DEAD,5797.0,http,
192.168.1.170,8069,DEAD,5797.21,http,
192.168.1.169,8068,DEAD,5797.43,http,
192.168.1.168,8067,DEAD,5797.64,http,
192.168.1.113,8012,DEAD,5802.86,http,
192.168.1.129,8028,DEAD,5801.43,http,
192.168.1.161,8060,DEAD,5798.49,http,
192.168.1.131,8030,DEAD,5798.7,http,
